rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
73,0,73,0,2024-09-18_16:50:14.225790,,,,285.74678190005943,287.68007990019396,None,None,35.6,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
74,0,74,0,2024-09-18_16:50:16.222051,,,,287.7444882001728,289.681588599924,None,None,35.7,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
75,0,75,0,2024-09-18_16:50:18.222404,,,,289.7455341001041,291.6800517998636,None,None,35.9,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
76,0,76,0,2024-09-18_16:50:20.220688,,,,291.74362839991227,293.6791965998709,None,None,36.0,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
77,0,77,0,2024-09-18_16:50:22.222325,,,,293.74444400006905,295.6810828000307,None,None,36.2,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
78,0,78,0,2024-09-18_16:50:24.223965,,,,295.74471020000055,297.68052030028775,None,None,36.4,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
79,0,79,0,2024-09-18_16:50:26.222587,,,,297.74423780012876,299.6792307998985,None,None,36.6,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
80,0,80,0,2024-09-18_16:50:28.221892,,,,299.7428271002136,301.6794612002559,None,None,36.800000000000004,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
81,0,81,0,2024-09-18_16:50:30.220645,,,,301.74476590007544,303.6784455999732,None,None,37.0,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
82,0,82,0,2024-09-18_16:50:32.216463,,,,303.7416790998541,305.67970340000466,None,None,37.2,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
83,0,83,0,2024-09-18_16:50:34.222446,,,,305.74395549995825,307.6789859002456,None,None,37.4,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
84,0,84,0,2024-09-18_16:50:36.216679,,,,307.7426072000526,309.6781334001571,None,None,37.6,5.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
85,0,85,0,2024-09-18_16:50:38.219036,,,,309.7425094000064,311.67915769992396,None,None,37.800000000000004,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
86,0,86,0,2024-09-18_16:50:40.221637,,,,311.7428393000737,313.67889000009745,None,None,38.0,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
87,0,87,0,2024-09-18_16:50:42.220958,,,,313.74427649984136,315.67946150014177,None,None,38.2,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
88,0,88,0,2024-09-18_16:50:44.220963,,,,315.74383749999106,317.68049219995737,None,None,38.400000000000006,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
89,0,89,0,2024-09-18_16:50:46.218508,,,,317.7446714001708,319.67854100000113,None,None,38.6,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
90,0,90,0,2024-09-18_16:50:48.215215,,,,319.74220400024205,321.6780139002949,None,None,38.800000000000004,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
91,0,91,0,2024-09-18_16:50:50.218881,,,,321.74174500023946,323.67819150025025,None,None,39.0,3.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
92,0,92,0,2024-09-18_16:50:52.217256,,,,323.7421412002295,325.6774965999648,None,None,39.2,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
93,0,93,0,2024-09-18_16:50:54.219844,,,,325.7402173001319,327.6774312001653,None,None,39.400000000000006,4.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
94,0,94,0,2024-09-18_16:50:56.220445,,,,327.74238590011373,329.6773688001558,None,None,39.6,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
95,0,95,0,2024-09-18_16:50:58.216287,,,,329.7408922999166,331.67867790022865,None,None,39.7,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
96,0,96,0,2024-09-18_16:51:00.217406,,,,331.7420843001455,333.6780111999251,None,None,39.900000000000006,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
97,0,97,0,2024-09-18_16:51:02.224038,,,,333.7424989999272,335.6766964001581,None,None,40.1,7.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
98,0,98,0,2024-09-18_16:51:04.214429,,,,335.7398132001981,337.6782964002341,None,None,40.300000000000004,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
99,0,99,0,2024-09-18_16:51:06.221138,,,,337.7435985999182,339.6763881999068,None,None,40.5,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
100,0,100,0,2024-09-18_16:51:08.217252,,,,339.7387908999808,341.67646340001374,None,None,40.7,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
101,0,101,0,2024-09-18_16:51:10.215141,,,,341.7395711001009,343.6780216000043,None,None,40.800000000000004,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
102,0,102,0,2024-09-18_16:51:12.215282,,,,343.7418459998444,345.67645200015977,None,None,41.0,7.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
103,0,103,0,2024-09-18_16:51:14.207115,,,,345.73796619987115,347.6779704000801,None,None,41.1,7.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
104,0,104,0,2024-09-18_16:51:16.211829,,,,347.7410414000042,349.6771733001806,None,None,41.300000000000004,5.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
105,0,105,0,2024-09-18_16:51:18.217574,,,,349.7406839001924,351.6773453000933,None,None,41.400000000000006,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
106,0,106,0,2024-09-18_16:51:20.217662,,,,351.74090069998056,353.6762613002211,None,None,41.6,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
107,0,107,0,2024-09-18_16:51:22.218181,,,,353.73936220025644,355.67619280004874,None,None,41.800000000000004,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
108,0,108,0,2024-09-18_16:51:24.216873,,,,355.7394619002007,357.6770856999792,None,None,41.900000000000006,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
109,0,109,0,2024-09-18_16:51:26.215038,,,,357.7398816002533,359.6767523000017,None,None,42.1,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
110,0,110,0,2024-09-18_16:51:28.218818,,,,359.7417166000232,361.6762395002879,None,None,42.2,6.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
111,0,111,0,2024-09-18_16:51:30.215691,,,,361.7417596001178,363.67741629993543,None,None,42.400000000000006,7.0,,,,95,003,2024-09-18_16h45.08.013,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h45.28.550248 +0200,
