rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
92,0,92,0,2024-09-17_16:40:02.715497,,,,190.1149067999795,192.05172340013087,None,None,26.700000000000003,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
93,0,93,0,2024-09-17_16:40:04.721664,,,,192.11681090015918,194.04965770011768,None,None,26.5,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
94,0,94,0,2024-09-17_16:40:06.713300,,,,194.1128034000285,196.0500016999431,None,None,26.3,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
95,0,95,0,2024-09-17_16:40:08.720141,,,,196.11472720000893,198.04969049990177,None,None,26.1,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
96,0,96,0,2024-09-17_16:40:10.717075,,,,198.1153931999579,200.0508669000119,None,None,25.900000000000002,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
97,0,97,0,2024-09-17_16:40:12.722290,,,,200.11823859997094,202.05006620008498,None,None,25.700000000000003,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
98,0,98,0,2024-09-17_16:40:14.715369,,,,202.11385799990967,204.04942010017112,None,None,25.6,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
99,0,99,0,2024-09-17_16:40:16.718218,,,,204.11540100025013,206.05013750027865,None,None,25.400000000000002,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
100,0,100,0,2024-09-17_16:40:18.719471,,,,206.11466909991577,208.051078800112,None,None,25.200000000000003,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
101,0,101,0,2024-09-17_16:40:20.720113,,,,208.11651819990948,210.04859380004928,None,None,25.0,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
102,0,102,0,2024-09-17_16:40:22.714170,,,,210.11217650026083,212.04988160030916,None,None,24.900000000000002,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
103,0,103,0,2024-09-17_16:40:24.720015,,,,212.11410250002518,214.04979490023106,None,None,24.700000000000003,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
104,0,104,0,2024-09-17_16:40:26.720700,,,,214.115293700248,216.04837660025805,None,None,24.5,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
105,0,105,0,2024-09-17_16:40:28.719061,,,,216.1143432999961,218.0491637000814,None,None,24.3,10.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
106,0,106,0,2024-09-17_16:40:30.721362,,,,218.115941000171,220.04891870031133,None,None,24.200000000000003,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
107,0,107,0,2024-09-17_16:40:32.720372,,,,220.11482860008255,222.04873630031943,None,None,24.0,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
108,0,108,0,2024-09-17_16:40:34.717977,,,,222.1135840001516,224.04975729994476,None,None,23.8,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
109,0,109,0,2024-09-17_16:40:36.716730,,,,224.1155392001383,226.04792150016874,None,None,23.6,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
110,0,110,0,2024-09-17_16:40:38.716954,,,,226.11355340015143,228.04962670011446,None,None,23.5,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
111,0,111,0,2024-09-17_16:40:40.716492,,,,228.114545899909,230.04898030031472,None,None,23.3,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
112,0,112,0,2024-09-17_16:40:42.719561,,,,230.11464630020782,232.04859249992296,None,None,23.1,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
113,0,113,0,2024-09-17_16:40:44.718948,,,,232.11471009999514,234.04937970032915,None,None,23.0,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
114,0,114,0,2024-09-17_16:40:46.719139,,,,234.11511059990153,236.0492297001183,None,None,22.8,8.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
115,0,115,0,2024-09-17_16:40:48.718777,,,,236.11555200023577,238.04924840014428,None,None,22.700000000000003,8.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
116,0,116,0,2024-09-17_16:40:50.717794,,,,238.11393570015207,240.04916719999164,None,None,22.5,8.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
117,0,117,0,2024-09-17_16:40:52.719129,,,,240.1154422000982,242.04830650007352,None,None,22.3,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
118,0,118,0,2024-09-17_16:40:54.718470,,,,242.11296170018613,244.0478166001849,None,None,22.1,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
119,0,119,0,2024-09-17_16:40:56.717190,,,,244.112669700291,246.0481132999994,None,None,22.0,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
120,0,120,0,2024-09-17_16:40:58.714937,,,,246.11345220031217,248.04860650002956,None,None,21.8,9.0,,,,95,001,2024-09-17_16h36.08.654,Coldplate_v74,2024.1.5,60,2024-09-17 16h36.52.746446 +0200,
